parAdjacencia-false numeroMsgsEntreAeB=-1 primeiraPalavraA=oie ultimaPalavraA=oie primeiraPalavraB=oie ultimaPalavraB=oie mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=-1 primeiraPalavraA=desist ultimaPalavraA=fisic primeiraPalavraB=desist ultimaPalavraB=fisic mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=oie ultimaPalavraA=oie primeiraPalavraB=desist ultimaPalavraB=fisic mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=-1 primeiraPalavraA=oiii ultimaPalavraA=oiii primeiraPalavraB=oiii ultimaPalavraB=oiii mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-true numeroMsgsEntreAeB=0 primeiraPalavraA=desist ultimaPalavraA=fisic primeiraPalavraB=oiii ultimaPalavraB=oiii mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=oie ultimaPalavraA=oie primeiraPalavraB=oiii ultimaPalavraB=oiii mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=-1 primeiraPalavraA=to ultimaPalavraA=pens primeiraPalavraB=to ultimaPalavraB=pens mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-true numeroMsgsEntreAeB=0 primeiraPalavraA=oiii ultimaPalavraA=oiii primeiraPalavraB=to ultimaPalavraB=pens mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=1 primeiraPalavraA=desist ultimaPalavraA=fisic primeiraPalavraB=to ultimaPalavraB=pens mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=2 primeiraPalavraA=oie ultimaPalavraA=oie primeiraPalavraB=to ultimaPalavraB=pens mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-true numeroMsgsEntreAeB=-1 primeiraPalavraA=ja ultimaPalavraA=hj primeiraPalavraB=ja ultimaPalavraB=hj mensagemATemNomeB=false mensagemBTemNomeA=false ?
parAdjacencia-false numeroMsgsEntreAeB=0 primeiraPalavraA=to ultimaPalavraA=pens primeiraPalavraB=ja ultimaPalavraB=hj mensagemATemNomeB=false mensagemBTemNomeA=false ?
