numeroMsgsEntreAeB=-1 primeiraPalavraA=ola ultimaPalavraA=bom primeiraPalavraB=ola ultimaPalavraB=bom mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=-1 primeiraPalavraA=otim ultimaPalavraA=otim primeiraPalavraB=otim ultimaPalavraB=otim mensagemATemNomeB=false mensagemBTemNomeA=false ehPar
numeroMsgsEntreAeB=0 primeiraPalavraA=ola ultimaPalavraA=bom primeiraPalavraB=otim ultimaPalavraB=otim mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=-1 primeiraPalavraA=part ultimaPalavraA=hoj primeiraPalavraB=part ultimaPalavraB=hoj mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=0 primeiraPalavraA=otim ultimaPalavraA=otim primeiraPalavraB=part ultimaPalavraB=hoj mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=1 primeiraPalavraA=ola ultimaPalavraA=bom primeiraPalavraB=part ultimaPalavraB=hoj mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=-1 primeiraPalavraA=clar ultimaPalavraA=bow primeiraPalavraB=clar ultimaPalavraB=bow mensagemATemNomeB=false mensagemBTemNomeA=false ehPar
numeroMsgsEntreAeB=0 primeiraPalavraA=part ultimaPalavraA=hoj primeiraPalavraB=clar ultimaPalavraB=bow mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=1 primeiraPalavraA=otim ultimaPalavraA=otim primeiraPalavraB=clar ultimaPalavraB=bow mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=2 primeiraPalavraA=ola ultimaPalavraA=bom primeiraPalavraB=clar ultimaPalavraB=bow mensagemATemNomeB=false mensagemBTemNomeA=false NaoEhPar
numeroMsgsEntreAeB=-1 primeiraPalavraA=blz ultimaPalavraA=la primeiraPalavraB=blz ultimaPalavraB=la mensagemATemNomeB=false mensagemBTemNomeA=false ehPar
